Department,Office,StreetAddress,City,State,PostalCode,Country,Location,Licenses,JobTitle
"Road Freight EU","Office 1","123 Main Street","City 1","Region 1","10-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Road Freight EU","Office 2","456 Broadway","City 2","Region 2","20-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Road Freight EU","Office 3","789 Harbor Road","City 3","Region 3","30-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Road Freight EU","Office 4","101 Central Avenue","City 4","Region 4","40-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Operations US","Office 1","123 Main Street","City 1","Region 1","10-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Operations US","Office 2","456 Broadway","City 2","Region 2","20-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Operations US","Office 3","789 Harbor Road","City 3","Region 3","30-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Operations US","Office 4","101 Central Avenue","City 4","Region 4","40-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"IT Department","Office 1","123 Main Street","City 1","Region 1","10-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"IT Department","Office 2","456 Broadway","City 2","Region 2","20-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"IT Department","Office 3","789 Harbor Road","City 3","Region 3","30-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"IT Department","Office 4","101 Central Avenue","City 4","Region 4","40-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Sea & Air Freight","Office 1","123 Main Street","City 1","Region 1","10-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Sea & Air Freight","Office 2","456 Broadway","City 2","Region 2","20-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Sea & Air Freight","Office 3","789 Harbor Road","City 3","Region 3","30-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Sea & Air Freight","Office 4","101 Central Avenue","City 4","Region 4","40-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Billing & Payment Monitoring","Office 1","123 Main Street","City 1","Region 1","10-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Billing & Payment Monitoring","Office 2","456 Broadway","City 2","Region 2","20-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Billing & Payment Monitoring","Office 3","789 Harbor Road","City 3","Region 3","30-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Billing & Payment Monitoring","Office 4","101 Central Avenue","City 4","Region 4","40-000","Country 1","C1","O365_BUSINESS_ESSENTIALS",""
"Drayage Operations","City 5","123 Main Street","City 5","Region 5","50-000","Country 2","C2","O365_BUSINESS_ESSENTIALS",""
"Drayage Operations","City 6","456 Broadway","City 6","Region 6","60-000","Country 2","C2","O365_BUSINESS_ESSENTIALS",""
"Drayage Operations","City 7","789 Harbor Road","City 7","Region 7","70-000","Country 2","C2","O365_BUSINESS_ESSENTIALS",""
"Drayage Operations","City 8","101 Central Avenue","City 8","Region 8","80-000","Country 2","C2","O365_BUSINESS_ESSENTIALS",""
